"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"81","Bismillah <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>

Bye Bandung <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> (at @kai121) — https://t.co/Snf86DlRsH",FALSE,0,NA,2016-10-30 23:28:04,FALSE,NA,"792870717238841344",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Herdiansyah_90",0,FALSE,FALSE,107.60722,-6.91605
"84","<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+270A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+0080> <U+266B> Start Today by Gorilla Biscuits (at PT. Leuwijaya Utama Textile) — https://t.co/vMvTogJPYM",FALSE,0,NA,2016-10-30 23:25:09,FALSE,NA,"792869981784412161",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Augie_Hc95",0,FALSE,FALSE,107.54637,-6.9165
"85","Jol udah disini lagi ajaaa<ed><U+00A0><U+00BD><ed><U+00B8><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+00B6> (at @jonas_photo) — https://t.co/rx69fEsunQ",FALSE,0,NA,2016-10-30 23:24:53,FALSE,NA,"792869914222563328",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","milamiloot",0,FALSE,FALSE,107.61954,-6.90384
"88","Kumaha ieu banjir <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> (at Jl.cidawolong) — https://t.co/iBzpfXCwiJ",FALSE,1,NA,2016-10-30 23:23:15,FALSE,NA,"792869506704035841",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","emysaniatulmaqf",0,FALSE,FALSE,107.72717,-7.04518
"90","Yap Mon(ster)day,, bandung-cimahi~ (with Wisnu Yusuf at @poltektelkom) — https://t.co/VM3cYjp3dv",FALSE,1,NA,2016-10-30 23:22:49,FALSE,NA,"792869397438214144",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","arrikofficial",0,FALSE,FALSE,107.63268,-6.97316
"93","Semoga keputusan dokter hari ini BOLEH PULANG, amin yaallah..... <U+266B> Cheap Thrills by Sia (at @borromeusbdg) — https://t.co/kdqg1ibRJS",FALSE,0,NA,2016-10-30 23:20:11,FALSE,NA,"792868733106610176",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","jodibule",0,FALSE,FALSE,107.61347,-6.89403
"94","Bismillah.  . 
Semangaat uts!
Semangaat ngerjain tugas!
Semangaat beraktifitas! (at Cipadung, Bandung) — https://t.co/YVPh7gLGwe",FALSE,0,NA,2016-10-30 23:19:00,FALSE,NA,"792868436384677888",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ddNisaa",0,FALSE,FALSE,107.71014,-6.93163
"100","Sakirana hari pertama uts ngaganggu kana ulin mending cutiin (at @unikom) — https://t.co/iFuBeq2R8u",FALSE,0,NA,2016-10-30 23:15:32,FALSE,NA,"792867565307502592",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","Rackah_",0,FALSE,FALSE,107.61659,-6.88668
"101","Morning Eve! (at Gedung Tokong Nanas Telkom University) [pic] — https://t.co/yKM8hqolXI",FALSE,0,NA,2016-10-30 23:15:30,FALSE,NA,"792867556059078657",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","RizkyDC_",0,FALSE,FALSE,107.63035,-6.97375
"102","Bismillah lancar
<ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B8><U+0087> (with SheilaAgustin and Tiko at Kamar bersalin Rs limijati) — https://t.co/JZBoZDPc0T",FALSE,0,NA,2016-10-30 23:15:19,FALSE,NA,"792867510479486977",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","giawibowo",0,FALSE,FALSE,107.62572,-6.90939
